,headline,Date Published,keywords,Covid 1st keyword,Contains covid keyword
19,"Homes for Sale in Brooklyn, Manhattan and the Bronx",2020-04-02T13:00:25+0000,"Real Estate and Housing (Residential);Riverdale (Bronx, NY);Sunset Park (Brooklyn, NY);Upper West Side (Manhattan, NY)",True,True
20,Poem: Bad Sons Anonymous,2020-04-02T09:00:04+0000,"Poetry and Poets;Suarez, Virgil;The Painted Bunting's Last Molt (Book)",True,True
21,Did a Cult Hair-Care Line Cause Thousands of Women to Lose Their Hair?,2020-04-01T09:00:10+0000,Hair;Suits and Litigation (Civil);DevaConcepts LLC,False,False
22,"Quotation of the Day: Cases Spiral Aboard an Aircraft Carrier, and a Commander Pleads for Help",2020-04-01T03:01:03+0000,,False,False
23,"Corrections: April 1, 2020",2020-04-01T03:11:06+0000,,False,False
24,"Animals, Sex and Guns? Eric Goode Knew ‘Tiger King’ Had Potential",2020-04-01T18:03:55+0000,"Television;Documentary Films and Programs;Tiger King: Murder, Mayhem and Madness (TV Program);Netflix Inc;Goode, Eric (1957- );Chaiklin, Rebecca;Animal Abuse, Rights and Welfare;Maldonado-Passage, Joseph;Baskin, Carole;Tigers",False,False
25,What’s on TV Friday: ‘Invisible Life’ and ‘Home Before Dark’,2020-04-03T05:00:06+0000,Television;Movies,False,False
26,Auto Sales Plummet in First Quarter as Coronavirus Keeps Buyers Away,2020-04-01T17:27:05+0000,Automobiles;Shutdowns (Institutional);Fiat Chrysler Automobiles NV;General Motors;Ford Motor Co;United States Economy;United States;China;Company Reports,False,False
27,"Former Hulu Boss Will Lead WarnerMedia, Home of HBO and CNN",2020-04-01T16:11:39+0000,"Kilar, Jason;Warner Media LLC;APPOINTMENTS AND EXECUTIVE CHANGES;Stankey, John T;AT&T Inc;CNN;Home Box Office;Warner Brothers;Hulu.com;Television;Movies;News and News Media",False,False
28,"After Threats, Anthony Fauci to Receive Enhanced Personal Security",2020-04-02T02:53:41+0000,"United States Politics and Government;Coronavirus (2019-nCoV);Presidential Election of 2020;Fringe Groups and Movements;Health and Human Services Department;Justice Department;Azar, Alex M II;Fauci, Anthony S;Trump, Donald J",False,False
29,"Weekly Health Quiz: Bikes, Steps and Coronavirus",2020-04-03T09:00:02+0000,Coronavirus (2019-nCoV);Tests (Medical);Bicycles and Bicycling;Walking;Exercise,False,True
30,"Corrections: April 3, 2020",2020-04-03T03:54:41+0000,,False,False
31,‘The Fields Heal Everyone’: Post-Soviet Leaders’ Coronavirus Denial,2020-04-02T15:34:49+0000,"Coronavirus (2019-nCoV);Lukashenko, Aleksandr G;Belarus;Central Asia;Tajikistan;Turkmenistan",False,False
32,What to Cook This Weekend,2020-04-03T14:30:00+0000,Cooking and Cookbooks,False,True
33,"‘Clover’ Review: A Crime Goes Wrong, and You Can Guess the Rest",2020-04-02T11:00:03+0000,"Movies;Clover (Movie);Abrahams, Jon (1977- )",False,False
34,A Feature on Zoom Secretly Displayed Data From People’s LinkedIn Profiles,2020-04-02T12:23:52+0000,"Coronavirus (2019-nCoV);Zoom Video Communications;Data-Mining and Database Marketing;LinkedIn Corporation;Privacy;Mobile Applications;Videophones and Videoconferencing;Cyberattacks and Hackers;Social Media;Computer Security;Yuan, Eric S",True,True
35,"When Silly Start-Ups Falter, We All Lose",2020-04-02T17:35:38+0000,Coronavirus (2019-nCoV);Start-ups;Computers and the Internet;Layoffs and Job Reductions,True,True
36,Mixing Your Own Hand Sanitizer?,2020-04-03T13:02:45+0000,"Cleansers, Detergents and Soaps;Coronavirus (2019-nCoV);Recipes;Hygiene and Cleanliness;Vodka;Quarantines;Epidemics;Shortages;Social Media",False,True
37,"Pokémon, Stay",2020-04-01T16:17:57+0000,Coronavirus (2019-nCoV);Computer and Video Games;Pokemon Go (Video Game),False,True
38,Love Letter: Dating in the Middle of the Atlantic Ocean,2020-04-03T17:00:04+0000,Coronavirus (2019-nCoV);Dating and Relationships;Marriages,False,True
39,Why the Global Recession Could Last a Long Time,2020-04-01T09:00:33+0000,Recession and Depression;United States Economy;Economic Conditions and Trends;International Trade and World Market;Consumer Behavior;Shutdowns (Institutional);Quarantines;Coronavirus (2019-nCoV),True,True
40,A Coffee C.E.O.’s Pandemic Diary: ‘We Want to Still Provide an Escape’,2020-04-03T16:06:36+0000,"Stone, Nicholas James;Bluestone Lane Roasting LLC;Coffee;Layoffs and Job Reductions;Coronavirus (2019-nCoV)",False,True
41,Letter of Recommendation: Mudlarking,2020-04-01T09:00:03+0000,"Rivers;Bones;Mines and Mining;Smith, Patti;River Thames (England);London (England)",False,True
42,"For This N.B.A. Rookie, Reality TV Is an Escape That Feels Like Home",2020-04-03T06:55:41+0000,"Television;Basketball;Reality Television;National Basketball Assn;Washington Wizards;Terrace House (TV Program);Hachimura, Rui (1998- )",False,True
43,"Gerald Freedman, Prolific Stage Director, Dies at 92",2020-04-02T16:33:03+0000,"Theater;Opera;Deaths (Obituaries);West Side Story (Play);Bells Are Ringing (Play);Hair (Play);Freedman, Gerald",False,True
44,13 Uplifting Documentaries on Netflix,2020-04-02T15:20:54+0000,"Netflix Inc;Documentary Films and Programs;Bombshell: The Hedy Lamarr Story (Movie);Lamarr, Hedy;GLOW: The Story of the Gorgeous Ladies of Wrestling (Movie);Paris Is Burning (Movie);20 Feet from Stardom (Movie);Rush: Beyond the Lighted Stage (Movie);Rush (Music Group);Tony Robbins: I Am Not Your Guru (Movie);Robbins, Tony;The Dawn Wall (Movie);Jiro Dreams of Sushi (Movie);The Black Godfather (Movie);AVANT, CLARENCE;Crip Camp (Movie);Raiders!: The Story of the Greatest Fan Film Ever Made (Movie);Best Worst Thing That Ever Could Have Happened (Movie);Bathtubs Over Broadway (Movie)",False,False
45,Portraits From New Orleans: A Close-Knit City Keeping a Safe Distance,2020-04-03T09:00:02+0000,Coronavirus (2019-nCoV);Quarantines;New Orleans (La),False,False
46,Taking Baths May Be Good for Your Heart,2020-04-01T16:34:18+0000,Bathing and Showering;Heart;Blood Pressure,False,False
47,Wall St. Caps a Turbulent Week With a Decline,2020-04-03T04:42:41+0000,Coronavirus (2019-nCoV);Stocks and Bonds;Economic Conditions and Trends;International Trade and World Market;Standard & Poor's 500-Stock Index,False,False
48,How an Eye Surgeon Got a Picture of This Rare Pastel Bird,2020-04-03T14:32:30+0000,Birds;Photography;Philippines;Research;your-feed-science,True,True
49,"In Stressful Times, Make Stress Work for You",2020-04-01T16:16:31+0000,Anxiety and Stress;Coronavirus (2019-nCoV);Quarantines;Emotions;Work-Life Balance,False,False
50,Coronavirus Sweeps Through a San Antonio Nursing Home,2020-04-03T20:38:01+0000,"Coronavirus (2019-nCoV);Southeast Nursing and Rehabilitation Center (San Antonio, Tex, Nursing Home);Deaths (Fatalities);Nursing Homes;San Antonio (Tex)",False,False
51,Letter of Recommendation: Mudlarking,2020-04-01T09:00:03+0000,"Rivers;Bones;Mines and Mining;Smith, Patti;River Thames (England);London (England)",True,True
52,How to Get Books When Bookstores and Libraries Are Closed,2020-04-03T09:00:22+0000,Books and Literature;Libraries and Librarians;E-Books and Readers;Audiobooks;Book Trade and Publishing;Shutdowns (Institutional);Coronavirus (2019-nCoV),True,True
53,"Corrections: April 3, 2020",2020-04-03T03:54:41+0000,,False,False
54,‘We Can’t Spend What We Don’t Have’: Virus Strikes N.Y. Budget,2020-04-03T00:37:47+0000,"Budgets and Budgeting;Coronavirus (2019-nCoV);Politics and Government;State Legislatures;Bail;Surrogate Motherhood;Medicaid;Cuomo, Andrew M;New York State",False,False
55,‘Never Thought I Would Need It’: Americans Put Pride Aside to Seek Aid,2020-04-01T00:01:20+0000,Unemployment;Food Banks and Pantries;Layoffs and Job Reductions;Philanthropy;GoFundMe;Coronavirus (2019-nCoV),False,True
56,‘The Fields Heal Everyone’: Post-Soviet Leaders’ Coronavirus Denial,2020-04-02T15:34:49+0000,"Coronavirus (2019-nCoV);Lukashenko, Aleksandr G;Belarus;Central Asia;Tajikistan;Turkmenistan",True,True
57,"Pokémon, Stay",2020-04-01T16:17:57+0000,Coronavirus (2019-nCoV);Computer and Video Games;Pokemon Go (Video Game),False,False
58,"From Afar, Congress Moves to Oversee Trump Coronavirus Response",2020-04-02T21:52:34+0000,"Coronavirus (2019-nCoV);Coronavirus Aid, Relief, and Economic Security Act (2020);Pelosi, Nancy;Democratic Party;House of Representatives;Senate;United States Economy;Corruption (Institutional);Trump, Donald J;United States Politics and Government",False,False
59,Parenting When the Family Is Locked Inside,2020-04-03T17:43:22+0000,Books and Literature,False,True
60,How Jerome Powell’s Unconventional Career Path Prepared Him for This Crisis,2020-04-02T15:52:21+0000,"Powell, Jerome H;United States Economy;Economic Conditions and Trends;Banking and Financial Institutions;Federal Reserve System;Coronavirus (2019-nCoV);Law and Legislation;Credit and Debt",False,False
61,Did a Cult Hair-Care Line Cause Thousands of Women to Lose Their Hair?,2020-04-01T09:00:10+0000,Hair;Suits and Litigation (Civil);DevaConcepts LLC,False,False
62,‘We Can’t Spend What We Don’t Have’: Virus Strikes N.Y. Budget,2020-04-03T00:37:47+0000,"Budgets and Budgeting;Coronavirus (2019-nCoV);Politics and Government;State Legislatures;Bail;Surrogate Motherhood;Medicaid;Cuomo, Andrew M;New York State",False,False
63,"‘Almost Love’ Review: Schooled in Romance, but Missing Class",2020-04-02T11:00:03+0000,"Movies;Almost Love (Movie);Doyle, Mike (1972- )",False,False
64,‘Lazy Susan’ Review: She Just Keeps Spinning in Place,2020-04-02T09:00:08+0000,"Movies;Lazy Susan (Movie);Hayes, Sean;Peet, Nick",False,True
65,The Only Way You Can See Milan Is to Fly Through It,2020-04-02T19:01:00+0000,Coronavirus (2019-nCoV);Milan (Italy);Italy;Quarantines,False,False
66,"Well, at Least Trump Hasn’t …",2020-04-01T22:40:00+0000,"Coronavirus (2019-nCoV);Quarantines;Trump, Donald J;United States Politics and Government;Governors (US);DeSantis, Ron;Florida",False,False
67,The Mask Fiasco,2020-04-01T12:10:07+0000,Masks;Protective Clothing and Gear;Coronavirus (2019-nCoV);Shortages;Stockpiling;Epidemics;Doctors;Nursing and Nurses;Medical Devices;Centers for Disease Control and Prevention;United States;United States Politics and Government,False,True
68,Parenting When the Family Is Locked Inside,2020-04-03T17:43:22+0000,Books and Literature,True,True
69,What Pregnant Women Should Know About Coronavirus,2020-04-02T19:56:48+0000,"Women and Girls;Pregnancy and Childbirth;Coronavirus (2019-nCoV);Babies and Infants;Quarantines;Epidemics;Swine Influenza;Vaccination and Immunization;SARS (Severe Acute Respiratory Syndrome);Breastfeeding;AMERICAN COLLEGE OF OBSTETRICIANS AND GYNECOLOGISTS;Centers for Disease Control and Prevention;Johns Hopkins University;Journal of the American Medical Assn;Lancet, The (Journal);World Health Organization;Zhang, Wei (Epidemiologist);Hong Kong",True,True
70,Coronavirus Advice: Wear a Mask. Here’s How.,2020-04-02T17:41:58+0000,Coronavirus (2019-nCoV);Masks;Protective Clothing and Gear;Do It Yourself,True,True
71,Is It Like the Flu? Is It a Major Threat? Trump’s Changing Coronavirus Message,2020-04-03T14:40:09+0000,"Coronavirus (2019-nCoV);Trump, Donald J;United States Politics and Government;Epidemics;Influenza;Rumors and Misinformation",False,True
72,12 Family-Friendly Nature Documentaries,2020-04-01T16:49:45+0000,Television;Documentary Films and Programs;Our Planet (TV Program);Night on Earth (TV Program);March of the Penguins (Movie);Monkey Kingdom (Movie);Chasing Coral (Movie);Hostile Planet (TV Program);Oceans (Movie);Microcosmos (Movie);Great Migrations (TV Program);Life (TV Program);The Living Desert (TV Program);Jane (Movie),False,True
73,13 Uplifting Documentaries on Netflix,2020-04-02T15:20:54+0000,"Netflix Inc;Documentary Films and Programs;Bombshell: The Hedy Lamarr Story (Movie);Lamarr, Hedy;GLOW: The Story of the Gorgeous Ladies of Wrestling (Movie);Paris Is Burning (Movie);20 Feet from Stardom (Movie);Rush: Beyond the Lighted Stage (Movie);Rush (Music Group);Tony Robbins: I Am Not Your Guru (Movie);Robbins, Tony;The Dawn Wall (Movie);Jiro Dreams of Sushi (Movie);The Black Godfather (Movie);AVANT, CLARENCE;Crip Camp (Movie);Raiders!: The Story of the Greatest Fan Film Ever Made (Movie);Best Worst Thing That Ever Could Have Happened (Movie);Bathtubs Over Broadway (Movie)",False,True
74,How to Remove Your Acrylics or Gels at Home,2020-04-03T21:37:42+0000,Nails (Body Part);Do It Yourself,False,True
75,What Are Some Ways to “Travel” Without Traveling During the Pandemic?,2020-04-03T11:52:53+0000,,False,True
76,"The Imperative of Personal Sacrifice, Today and During World War II",2020-04-03T11:59:53+0000,"United States Defense and Military Forces;Rationing and Allocation of Resources;World War II (1939-45);Coronavirus (2019-nCoV);Stockpiling;National World War II Museum (New Orleans, La);Roosevelt, Franklin Delano",False,True
77,"‘Clover’ Review: A Crime Goes Wrong, and You Can Guess the Rest",2020-04-02T11:00:03+0000,"Movies;Clover (Movie);Abrahams, Jon (1977- )",False,True
78,"‘Almost Love’ Review: Schooled in Romance, but Missing Class",2020-04-02T11:00:03+0000,"Movies;Almost Love (Movie);Doyle, Mike (1972- )",True,True
79,‘Lazy Susan’ Review: She Just Keeps Spinning in Place,2020-04-02T09:00:08+0000,"Movies;Lazy Susan (Movie);Hayes, Sean;Peet, Nick",False,False
80,"Coronavirus in N.Y.: Toll Soars to Nearly 3,000 as State Pleads for Aid",2020-04-03T23:33:05+0000,"Coronavirus (2019-nCoV);New York City;Deaths (Fatalities);Hospitals;Emergency Medical Treatment;Ventilators (Medical);Quarantines;Epidemics;Cuomo, Andrew M;New York State",False,False
81,Coronavirus Advice: Wear a Mask. Here’s How.,2020-04-02T17:41:58+0000,Coronavirus (2019-nCoV);Masks;Protective Clothing and Gear;Do It Yourself,False,False
82,Is It Like the Flu? Is It a Major Threat? Trump’s Changing Coronavirus Message,2020-04-03T14:40:09+0000,"Coronavirus (2019-nCoV);Trump, Donald J;United States Politics and Government;Epidemics;Influenza;Rumors and Misinformation",False,False
83,Holdout States Resist Calls for Stay-at-Home Orders: ‘What Are You Waiting For?’,2020-04-03T22:25:48+0000,Coronavirus (2019-nCoV);Shutdowns (Institutional);Quarantines;States (US);Politics and Government;Governors (US);ARKANSAS;Iowa;Nebraska;North Dakota;South Dakota,False,False
84,The Coronavirus Test Is Too Hard for Trump,2020-04-03T09:00:21+0000,"Coronavirus (2019-nCoV);Deaths (Fatalities);Trump, Donald J;United States Politics and Government;Epidemics",False,False
85,Covid-19: A Look Back From 2025,2020-04-03T23:57:02+0000,"Coronavirus (2019-nCoV);Presidential Election of 2020;Politics and Government;Trump, Donald J;Biden, Joseph R Jr;Duterte, Rodrigo;Orban, Viktor;United States;Israel;Hungary;China",False,False
86,What Happens if Congress Cannot Assemble to Do Its Work?,2020-04-03T23:00:07+0000,"House of Representatives;Senate;United States Politics and Government;Durbin, Richard J;Portman, Rob;House Committee on Rules;Coronavirus (2019-nCoV)",False,False
87,Bonus Pay for Hazardous Duty,2020-04-03T17:42:32+0000,Coronavirus (2019-nCoV);Labor and Jobs;Bonuses,False,True
88,4 Ways to Help Your Anxious Kid,2020-04-01T12:48:56+0000,Children and Childhood;Psychology and Psychologists;Anxiety and Stress;Parenting;Coronavirus (2019-nCoV);Quarantines,False,False
89,Prisons Breed the Coronavirus. We Can Safely Free Thousands of Inmates.,2020-04-03T19:00:07+0000,"Prisons and Prisoners;Coronavirus (2019-nCoV);Immigration Detention;Quarantines;Cuomo, Andrew M;de Blasio, Bill;Federal Bureau of Prisons;Metropolitan Detention Center (Brooklyn, NY);ALABAMA;Brooklyn (NYC);New York City;New York State;South Carolina",False,False
90,New York’s New Soup Kitchen Has an Upscale Address: Eleven Madison Park,2020-04-02T20:49:47+0000,"Restaurants;Philanthropy;Coronavirus (2019-nCoV);Soup Kitchens;Eleven Madison Park (Manhattan, NY, Restaurant);New York City",True,True
91,‘The Other Lamb’ Review: Flock Therapy,2020-04-02T11:00:03+0000,"Movies;Cassidy, Raffey (2002- );The Other Lamb (Movie);Szumowska, Malgorzata",False,False
92,Have You Been Separated from Your Family Because of Coronavirus?,2020-04-03T20:28:20+0000,Parenting;Coronavirus (2019-nCoV);Quarantines,False,False
93,Remembering Coronavirus Victims: Tell Us About People You Knew.,2020-04-01T20:24:08+0000,Coronavirus (2019-nCoV);Deaths (Obituaries),True,True
94,‘Never Thought I Would Need It’: Americans Put Pride Aside to Seek Aid,2020-04-01T00:01:20+0000,Unemployment;Food Banks and Pantries;Layoffs and Job Reductions;Philanthropy;GoFundMe;Coronavirus (2019-nCoV),True,True
95,There’s Only One Thing Stopping Trump From Deporting Health Care Workers,2020-04-02T23:00:07+0000,"Medicine and Health;Deferred Action for Childhood Arrivals;Immigration and Emigration;Doctors;Nursing and Nurses;Center for American Progress;Supreme Court (US);Trump, Donald J;United States",True,True
96,Virus’s Toll on N.Y. Police: 1 in 6 Officers Is Out Sick,2020-04-03T07:00:06+0000,"Police;Police Department (NYC);Shea, Dermot F (1969- );New York City;Coronavirus (2019-nCoV);Quarantines;Shortages;Masks;Protective Clothing and Gear",True,True
97,Dapper Dan’s Grandson Sews His Own Gucci,2020-04-03T21:00:07+0000,"Fashion and Apparel;Loving, Akil;Day, Daniel (Dapper Dan)",True,True
98,About 2 Million Guns Were Sold in the U.S. as Virus Fears Spread,2020-04-02T01:20:55+0000,Coronavirus (2019-nCoV);Gun Control,True,True
99,"Stranded Abroad, Americans Ask: Why Weren’t We Warned Sooner?",2020-04-03T09:28:39+0000,"Coronavirus (2019-nCoV);Travel and Vacations;State Department;Evacuations and Evacuees;Nepal;Pompeo, Mike;Trump, Donald J;United States International Relations;India;Peru",True,True
100,Dozens Missing After Ferry in Solomon Islands Defies Cyclone Warning,2020-04-03T07:28:20+0000,Ferries;Maritime Accidents and Safety;Solomon Islands;Australia,True,True
101,Religious Exemption From Florida’s Stay-at-Home Order,2020-04-02T19:16:02+0000,"DeSantis, Ron;Florida;Coronavirus (2019-nCoV);Ventilators (Medical);Shortages;Death and Dying",True,True
102,How to Navigate Public Spaces and More,2020-04-03T13:31:35+0000,Shopping and Retail;Anxiety and Stress;Supermarkets and Grocery Stores;Therapy and Rehabilitation,True,True
103,Trump Picks McConnell Protégé for Influential Appeals Court Seat,2020-04-03T21:40:49+0000,"United States Politics and Government;Federal Courts (US);Appeals Courts (US);AMERICAN BAR ASSN;Federalist Society;Senate;Supreme Court (US);Kavanaugh, Brett M;McConnell, Mitch;Trump, Donald J;Griffith, Thomas B",True,True
104,A Debate Over Masks Uncovers Deep White House Divisions,2020-04-03T23:21:27+0000,"Coronavirus (2019-nCoV);Masks;Protective Clothing and Gear;Trump, Donald J;United States Politics and Government;Epidemics;Centers for Disease Control and Prevention;World Health Organization",True,True
105,Location Data Says It All: Staying at Home During Coronavirus Is a Luxury,2020-04-03T09:00:03+0000,Coronavirus (2019-nCoV);Income Inequality;Labor and Jobs;Paid Time Off;Wages and Salaries;Workplace Hazards and Violations;Quarantines;United States,True,True
106,Predictions for the Coronavirus Stock Market,2020-04-02T16:09:01+0000,"Stocks and Bonds;Coronavirus (2019-nCoV);Epidemics;Prices (Fares, Fees and Rates);Great Depression (1930's);Inflation (Economics)",True,True
107,No Live Sports on TV? Consumers Want a Refund,2020-04-02T17:55:30+0000,"Cable Television;Athletics and Sports;Prices (Fares, Fees and Rates);Comcast Corporation;DAZN Group Ltd;Dish Network;ESPN;Fox Sports;Verizon Communications Inc;Coronavirus (2019-nCoV)",True,True
108,Pakistan Rearrests 4 Men in Daniel Pearl Case,2020-04-03T17:36:26+0000,"Pakistan;Pearl, Daniel;Sheikh, Ahmed Omar;Terrorism;Murders, Attempted Murders and Homicides;Kidnapping and Hostages;Politics and Government",True,True
109,‘It’s a Pretty Big Bummer’: Olympic Dreams on Hold,2020-04-02T09:00:05+0000,Olympic Games (2020);Paralympic Games;Tokyo (Japan);Coronavirus (2019-nCoV);Quarantines,True,True
110,Holdout States Resist Calls for Stay-at-Home Orders: ‘What Are You Waiting For?’,2020-04-03T22:25:48+0000,Coronavirus (2019-nCoV);Shutdowns (Institutional);Quarantines;States (US);Politics and Government;Governors (US);ARKANSAS;Iowa;Nebraska;North Dakota;South Dakota,True,True
111,The Coronavirus Test Is Too Hard for Trump,2020-04-03T09:00:21+0000,"Coronavirus (2019-nCoV);Deaths (Fatalities);Trump, Donald J;United States Politics and Government;Epidemics",True,True
112,‘It’s a Pretty Big Bummer’: Olympic Dreams on Hold,2020-04-02T09:00:05+0000,Olympic Games (2020);Paralympic Games;Tokyo (Japan);Coronavirus (2019-nCoV);Quarantines,True,True
113,4 Ways to Help Your Anxious Kid,2020-04-01T12:48:56+0000,Children and Childhood;Psychology and Psychologists;Anxiety and Stress;Parenting;Coronavirus (2019-nCoV);Quarantines,True,True
114,A Coffee C.E.O.’s Pandemic Diary: ‘We Want to Still Provide an Escape’,2020-04-03T16:06:36+0000,"Stone, Nicholas James;Bluestone Lane Roasting LLC;Coffee;Layoffs and Job Reductions;Coronavirus (2019-nCoV)",True,True
115,"Peaks, Testing, Lockdowns: How Coronavirus Vocabulary Causes Confusion",2020-04-03T09:00:31+0000,"Coronavirus (2019-nCoV);Tests (Medical);Deaths (Fatalities);Epidemics;Atlantic, The (Magazine);Italy;Europe;China;United States;South Korea;English Language;Language and Languages",True,True
116,"When Humans Are Sheltered in Place, Wild Animals Will Play",2020-04-01T17:37:50+0000,Animal Behavior;Coronavirus (2019-nCoV);Shutdowns (Institutional),True,True
117,"In Stressful Times, Make Stress Work for You",2020-04-01T16:16:31+0000,Anxiety and Stress;Coronavirus (2019-nCoV);Quarantines;Emotions;Work-Life Balance,True,True
118,How Do You Make a Less Toxic Blue Dye? Start With Red Beets,2020-04-03T23:14:59+0000,"Dyes and Dyestuffs;Color;Beets;Science Advances (Journal);Chemistry;Bastos, Erick Leite;Textiles;Research;your-feed-science",True,True
119,Taking Baths May Be Good for Your Heart,2020-04-01T16:34:18+0000,Bathing and Showering;Heart;Blood Pressure,True,True
120,12 Family-Friendly Nature Documentaries,2020-04-01T16:49:45+0000,Television;Documentary Films and Programs;Our Planet (TV Program);Night on Earth (TV Program);March of the Penguins (Movie);Monkey Kingdom (Movie);Chasing Coral (Movie);Hostile Planet (TV Program);Oceans (Movie);Microcosmos (Movie);Great Migrations (TV Program);Life (TV Program);The Living Desert (TV Program);Jane (Movie),False,False
121,A Coffee C.E.O.’s Pandemic Diary: ‘We Want to Still Provide an Escape’,2020-04-03T16:06:36+0000,"Stone, Nicholas James;Bluestone Lane Roasting LLC;Coffee;Layoffs and Job Reductions;Coronavirus (2019-nCoV)",False,False
122,Letter of Recommendation: Mudlarking,2020-04-01T09:00:03+0000,"Rivers;Bones;Mines and Mining;Smith, Patti;River Thames (England);London (England)",False,True
123,Skull Fossils in Cave Show Mix of Human Relatives Roamed South Africa,2020-04-02T22:14:35+0000,"Australopithecines;Paleontology;Skull (Body Part);South Africa;Fossils;Evolution (Biology);Endangered and Extinct Species;Science (Journal);La Trobe University;Baker, Stephanie;Strait, David S;Herries, Andy I R;your-feed-science",True,True
124,When All the Zingers Were Fit to Print,2020-04-01T09:00:34+0000,"New York Times;Writing and Writers;Newspapers;News and News Media;Comedy and Humor;Strikes;Books and Literature;Shutdowns (Institutional);Art;Capers;Newsdealers and Newsstands;Emmy Awards;Typewriters and Typewriting;National Lampoon;Onion, The;Toledo Blade;Village Voice;Bernstein, Carl;Claiborne, Craig;Collins, Glenn;Ephron, Nora;Fitzgerald, Frances;Hendra, Tony;Kosinski, Jerzy;Plimpton, George;Reston, James Jr;Rooney, Mickey;Southern, Terry;Spencer, Scott;Being There (Movie);Sesame Street (TV Program)",True,True
125,Coronavirus Sweeps Through a San Antonio Nursing Home,2020-04-03T20:38:01+0000,"Coronavirus (2019-nCoV);Southeast Nursing and Rehabilitation Center (San Antonio, Tex, Nursing Home);Deaths (Fatalities);Nursing Homes;San Antonio (Tex)",True,True
126,How an Eye Surgeon Got a Picture of This Rare Pastel Bird,2020-04-03T14:32:30+0000,Birds;Photography;Philippines;Research;your-feed-science,True,True
127,"In Stressful Times, Make Stress Work for You",2020-04-01T16:16:31+0000,Anxiety and Stress;Coronavirus (2019-nCoV);Quarantines;Emotions;Work-Life Balance,True,True
128,"When Humans Are Sheltered in Place, Wild Animals Will Play",2020-04-01T17:37:50+0000,Animal Behavior;Coronavirus (2019-nCoV);Shutdowns (Institutional),True,True
