,headline,Date Published,keywords,Covid 1st keyword,Contains covid keyword
39,Amy Klobuchar Drops Out of Presidential Race and Endorses Biden,2020-03-02T18:31:44+0000,"Presidential Election of 2020;Klobuchar, Amy;Democratic Party",False,False
40,In Trump’s Words: Praise for the Taliban and Optimism About the Coronavirus,2020-03-01T04:04:45+0000,"Politics and Government;United States Politics and Government;Coronavirus (2019-nCoV);Russian Interference in 2016 US Elections and Ties to Trump Associates;Islamic State in Iraq and Syria (ISIS);Trump, Donald J",False,True
41,How the Democratic Establishment Stumbled as Sanders Surged,2020-03-02T22:18:04+0000,"Presidential Election of 2020;United States Politics and Government;Democratic Party;Primaries and Caucuses;Sanders, Bernard;Biden, Joseph R Jr;Bloomberg, Michael R;Klobuchar, Amy;Warren, Elizabeth;Trump, Donald J",False,False
42,Amy Klobuchar Drops Out of Presidential Race and Endorses Biden,2020-03-02T18:31:44+0000,"Presidential Election of 2020;Klobuchar, Amy;Democratic Party",False,False
43,Flying Blind Into Super Tuesday,2020-03-03T14:54:55+0000,"Presidential Election of 2020;States (US);United States Politics and Government;Primaries and Caucuses;Polls and Public Opinion;Voting and Voters;Democratic Party;Southern States (US);Northeastern States (US);Western States (US);Biden, Joseph R Jr;Sanders, Bernard;Klobuchar, Amy;Buttigieg, Pete (1982- )",False,False
44,The Latino Vote: The ‘Sleeping Giant’ Awakens,2020-03-03T08:00:11+0000,"Presidential Election of 2020;Race and Ethnicity;Hispanic-Americans;El Paso, Tex, Shooting (2019);Immigration and Emigration;Mexican-Americans;Discrimination;Democratic Party;Latino Victory Fund;Mi Familia Vota;Biden, Joseph R Jr;Bloomberg, Michael R;Sanders, Bernard;California;Texas",False,False
45,Coronavirus Briefing: What Happened Today,2020-03-03T00:02:46+0000,Coronavirus (2019-nCoV),True,True
46,Can YouTube Quiet Its Conspiracy Theorists?,2020-03-02T10:00:01+0000,"Fringe Groups and Movements;Video Recordings, Downloads and Streaming;YouTube.com",False,False
47,How a Pipeline Is Dividing Minnesota’s Democrats Ahead of Super Tuesday,2020-03-02T10:00:21+0000,Minnesota;Pipelines;Oil (Petroleum) and Gasoline;Native Americans;Organized Labor;Presidential Election of 2020;Primaries and Caucuses;Democratic Party;Enbridge Inc;Global Warming,False,False
48,"Lunch With Freeman Dyson, in 196,883 Dimensions",2020-03-03T18:16:46+0000,"Mathematics;Physics;Institute for Advanced Study;Dyson, Freeman J;your-feed-science;Research",False,False
49,Louis Vuitton :Fall 2020,2020-03-03T20:13:58+0000,Louis Vuitton;Paris Fashion Week,False,False
50,The Wall Some Texans Want to Build Against Abortion,2020-03-03T21:58:05+0000,ABORTION;Law and Legislation;LINDALE (TEX);Texas;Politics and Government;Texas Right to Life;Federal-State Relations (US);United States Politics and Government,False,False
51,Coronavirus Briefing: What Happened Today,2020-03-03T23:44:12+0000,Coronavirus (2019-nCoV),True,True
52,How We Got to Super Tuesday: 6 Campaigns in Photos,2020-03-03T10:00:47+0000,"Presidential Election of 2020;Primaries and Caucuses;Democratic Party;Photography;Biden, Joseph R Jr;Bloomberg, Michael R;Buttigieg, Pete (1982- );Klobuchar, Amy;Sanders, Bernard;Warren, Elizabeth",False,False
53,"As Gymnasts Who Were Abused Seek Answers, They Are Offered Only Money",2020-03-03T16:16:38+0000,"Gymnastics;Sex Crimes;Child Abuse and Neglect;Nassar, Lawrence G (1963- );USA Gymnastics;Reparations;Biles, Simone;Raisman, Aly;Denhollander, Rachael;United States Olympic and Paralympic Committee;Olympic Games (2020)",False,False
54,"Stanislaw Kania, 92, Polish Leader During Solidarity’s Rise, Dies",2020-03-03T22:32:27+0000,"Kania, Stanislaw;Deaths (Obituaries);Martial Law;Nineteen Hundred Eighties;Solidarity (Poland);Poland;Politics and Government",False,False
55,"Bobbie Battista, a Mainstay Anchor at CNN, Dies at 67",2020-03-03T22:27:35+0000,"Battista, Bobbie;Deaths (Obituaries);News and News Media;Television;CNN;HLN",False,False
56,How Bloomberg Buys the Silence of Unhappy Employees,2020-03-02T18:04:28+0000,"Presidential Election of 2020;Nondisclosure Agreements;Bloomberg LP;Bloomberg News;Bloomberg BusinessWeek;Bloomberg, Michael R;Discrimination;Women and Girls;Suits and Litigation (Civil);Sexual Harassment;Workplace Hazards and Violations;News and News Media",False,False
57,What I Learned From Scanning the Brains of Potential Terrorists,2020-03-02T09:50:04+0000,Terrorism;Brain;Psychology and Psychologists;Mass Shootings;Discrimination;Research;United States;your-feed-opinionvideo,False,False
58,How the Democratic Candidates Would Tackle the Housing Crisis,2020-03-03T10:00:18+0000,"Presidential Election of 2020;Real Estate and Housing (Residential);Renting and Leasing (Real Estate);Affordable Housing;Public and Subsidized Housing;Homeless Persons;Rent Control and Stabilization;Section 8 (Housing);Democratic Party;Biden, Joseph R Jr;Bloomberg, Michael R;Sanders, Bernard;Warren, Elizabeth;United States Politics and Government",False,False
59,Warming Winter (Almost) Cuts Off a Sweet Wine Tradition in Germany,2020-03-03T14:39:24+0000,Grapes;Wines;Global Warming;Germany;Agriculture and Farming,False,False
60,"Lunch With Freeman Dyson, in 196,883 Dimensions",2020-03-03T18:16:46+0000,"Mathematics;Physics;Institute for Advanced Study;Dyson, Freeman J;your-feed-science;Research",False,False
61,Coronavirus Briefing: What Happened Today,2020-03-03T00:02:46+0000,Coronavirus (2019-nCoV),True,True
62,"The Literary Festivals to Hit This Year, From Brooklyn to Singapore",2020-03-03T10:00:17+0000,"Books and Literature;Writing and Writers;Poetry and Poets;Travel and Vacations;Mount, The (Lenox, Mass);Cunard Line Ltd;Miller, Sue;All American Boys (Book);The Uninhabitable Earth: Life After Warming (Book)",False,False
63,Senator Rick Scott: ‘Communist China Cannot Be Trusted’,2020-03-03T19:03:20+0000,"AMERICAN HOSPITAL ASSN;China;Coronavirus (2019-nCoV);Scott, Richard L",False,True
64,Lil Dicky the Rapper Makes Way for Dave the TV Star,2020-03-02T10:00:13+0000,"Television;Burd, David (Lil Dicky) (1988- );FXX (TV Network);Comedy and Humor;Rap and Hip-Hop;ACTORS AND ACTRESSES;Dave (TV Program)",False,False
65,David Hallberg to Run the Australian Ballet,2020-03-02T23:30:05+0000,Dancing,False,False
66,Is Fiscal Stimulus the Answer to Preventing a Coronavirus Recession?,2020-03-03T08:00:04+0000,"United States Economy;Coronavirus (2019-nCoV);United States Politics and Government;Federal Budget (US);Presidential Election of 2020;Trump, Donald J",False,True
67,Turn to Jackfruit for a Vegan Snack,2020-03-02T23:52:58+0000,Snack Foods;Fruit;Seril's Chakka Chips,False,False
68,Louis Vuitton :Fall 2020,2020-03-03T20:13:58+0000,Louis Vuitton;Paris Fashion Week,False,False
69,"When a Drug Study Abruptly Ends, Volunteers Are Left to Cope",2020-03-03T12:38:37+0000,ALZHEIMER'S DISEASE;Drugs (Pharmaceuticals);Clinical Trials;Research;JAMA Neurology (Journal);Biogen Idec Inc;Eisai Co Ltd;Philadelphia (Pa);your-feed-science;your-feed-health,False,False
70,How Bloomberg Buys the Silence of Unhappy Employees,2020-03-02T18:04:28+0000,"Presidential Election of 2020;Nondisclosure Agreements;Bloomberg LP;Bloomberg News;Bloomberg BusinessWeek;Bloomberg, Michael R;Discrimination;Women and Girls;Suits and Litigation (Civil);Sexual Harassment;Workplace Hazards and Violations;News and News Media",False,False
71,What I Learned From Scanning the Brains of Potential Terrorists,2020-03-02T09:50:04+0000,Terrorism;Brain;Psychology and Psychologists;Mass Shootings;Discrimination;Research;United States;your-feed-opinionvideo,False,False
72,All the French Favorites,2020-03-03T16:24:09+0000,"Restaurants;Williamsburg (Brooklyn, NY);O'Neal, Aidan (Chef);Leiber, Jake (Chef);Wythe Hotel (Brooklyn, NY);Le Crocodile (Brooklyn, NY, Restaurant)",False,False
73,How We Got to Super Tuesday: 6 Campaigns in Photos,2020-03-03T10:00:47+0000,"Presidential Election of 2020;Primaries and Caucuses;Democratic Party;Photography;Biden, Joseph R Jr;Bloomberg, Michael R;Buttigieg, Pete (1982- );Klobuchar, Amy;Sanders, Bernard;Warren, Elizabeth",False,False
74,How the Democratic Candidates Would Tackle the Housing Crisis,2020-03-03T10:00:18+0000,"Presidential Election of 2020;Real Estate and Housing (Residential);Renting and Leasing (Real Estate);Affordable Housing;Public and Subsidized Housing;Homeless Persons;Rent Control and Stabilization;Section 8 (Housing);Democratic Party;Biden, Joseph R Jr;Bloomberg, Michael R;Sanders, Bernard;Warren, Elizabeth;United States Politics and Government",False,False
75,Warming Winter (Almost) Cuts Off a Sweet Wine Tradition in Germany,2020-03-03T14:39:24+0000,Grapes;Wines;Global Warming;Germany;Agriculture and Farming,False,False
76,Silicon Valley Leaders’ Plea to Democrats: Anyone but Sanders,2020-03-02T10:00:20+0000,"Computers and the Internet;Presidential Election of 2020;Primaries and Caucuses;Sanders, Bernard;Democratic Party;High Net Worth Individuals;California;Trump, Donald J;United States Politics and Government",False,False
77,"As Gymnasts Who Were Abused Seek Answers, They Are Offered Only Money",2020-03-03T16:16:38+0000,"Gymnastics;Sex Crimes;Child Abuse and Neglect;Nassar, Lawrence G (1963- );USA Gymnastics;Reparations;Biles, Simone;Raisman, Aly;Denhollander, Rachael;United States Olympic and Paralympic Committee;Olympic Games (2020)",False,False
78,"Stanislaw Kania, 92, Polish Leader During Solidarity’s Rise, Dies",2020-03-03T22:32:27+0000,"Kania, Stanislaw;Deaths (Obituaries);Martial Law;Nineteen Hundred Eighties;Solidarity (Poland);Poland;Politics and Government",False,False
79,"Bobbie Battista, a Mainstay Anchor at CNN, Dies at 67",2020-03-03T22:27:35+0000,"Battista, Bobbie;Deaths (Obituaries);News and News Media;Television;CNN;HLN",False,False
80,"As Buttigieg Exits Race, Biden Seeks Edge Against Sanders on Super Tuesday",2020-03-02T01:11:12+0000,"Presidential Election of 2020;Primaries and Caucuses;Biden, Joseph R Jr;Sanders, Bernard;Warren, Elizabeth;Buttigieg, Pete (1982- );Bloomberg, Michael R;Klobuchar, Amy;Democratic Party;South Carolina",False,False
81,How the Democrats’ ‘15% Rule’ Could Reshape the Race on Super Tuesday,2020-03-01T12:00:08+0000,Primaries and Caucuses;Presidential Election of 2020;United States Politics and Government;Democratic Party,False,False
82,Bernie Sanders Can’t Count on New Voters,2020-03-03T01:43:54+0000,"Sanders, Bernard;Voting and Voters;AGE, CHRONOLOGICAL;Democratic Party;Presidential Election of 2020;Primaries and Caucuses;Liberalism (US Politics);United States Politics and Government;Youth;Polls and Public Opinion;Trump, Donald J;Biden, Joseph R Jr",False,False
83,Trump’s High Court Hears Its First Abortion Case,2020-03-02T20:33:38+0000,"Law and Legislation;ABORTION;Roe v Wade (Supreme Court Decision);Birth Control and Family Planning;Supreme Court (US);Kavanaugh, Brett M;Roberts, John G Jr;Trump, Donald J;Louisiana",False,False
84,The Heartbeat Bills Were Never the Real Threat to Abortion Rights,2020-03-03T10:00:12+0000,ABORTION;Roe v Wade (Supreme Court Decision);Law and Legislation;Women's Rights;Women and Girls;United States Politics and Government;Supreme Court (US);Louisiana,False,False
85,"Most Adults Should be Screened for Hepatitis C, New U.S. Guidelines Urge",2020-03-02T22:52:00+0000,Hepatitis;Preventive Medicine;Liver;Drug Abuse and Traffic;United States Preventive Services Task Force;Journal of the American Medical Assn;United States;Tests (Medical),False,False
86,Paranoid Politics Goes Viral,2020-03-02T22:42:16+0000,"United States Politics and Government;Coronavirus (2019-nCoV);Hoaxes and Pranks;Republican Party;Trump, Donald J;Presidential Election of 2020;Sanders, Bernard",False,True
87,An Abortion Clinic’s Fate Before a Transformed Supreme Court,2020-03-03T10:00:20+0000,ABORTION;Law and Legislation;Decisions and Verdicts;United States Politics and Government;Supreme Court (US);Louisiana,False,False
88,China Stopped Its Economy to Tackle Coronavirus. Now the World Suffers.,2020-03-02T21:33:01+0000,China;Coronavirus (2019-nCoV);Economic Conditions and Trends;International Trade and World Market;Travel and Vacations;Labor and Jobs;Layoffs and Job Reductions;Mines and Mining;Factories and Manufacturing;Epidemics,False,True
89,Stop Touching Your Face!,2020-03-02T10:00:09+0000,Face;Touch (Sense);Hygiene and Cleanliness;Coronavirus (2019-nCoV);Eyes and Eyesight;Research;SARS (Severe Acute Respiratory Syndrome);Epidemics;Nose;Animal Behavior;Skin;Medicine and Health;Doctors;Mouth,False,True
90,"As Coronavirus Hits U.K., Health Workers Fear Getting Sick, and Going Broke",2020-03-03T13:16:33+0000,"Coronavirus (2019-nCoV);Labor and Jobs;National Health Service;Workplace Hazards and Violations;Hospitals;Freelancing, Self-Employment and Independent Contracting;Great Britain",True,True
91,Talking to Teens and Tweens About Coronavirus,2020-03-02T10:00:14+0000,Coronavirus (2019-nCoV);Teenagers and Adolescence;Psychology and Psychologists;Parenting;Anxiety and Stress;Hygiene and Cleanliness;Immune System,True,True
92,Why 2019 Was a Breakthrough Year for Women in the Boardroom,2020-03-03T18:03:45+0000,Workplace Environment;Gender;Women and Girls;Boards of Directors,False,False
93,"Living In... Ojai, Calif.",2020-03-03T14:00:18+0000,Ojai (Calif);Los Angeles (Calif);Real Estate and Housing (Residential);California,False,False
94,"In Coronavirus Fight, China Gives Citizens a Color Code, With Red Flags",2020-03-02T00:45:00+0000,Coronavirus (2019-nCoV);Surveillance of Citizens by Government;Epidemics;Privacy;Alibaba Group Holding Ltd;Ant Financial Services Group;Alipay;WeChat (Mobile App);China;Hangzhou (China);Hubei Province (China);Computers and the Internet;Computer Security;Quarantines,True,True
95,Katie Roiphe Puts Her Romantic History Under a Microscope,2020-03-03T10:00:07+0000,"Books and Literature;Roiphe, Katie;The Power Notebooks (Book);Women and Girls;#MeToo Movement;Dating and Relationships",False,False
96,Abortion Case in Colombia Could Be a Landmark in Latin America,2020-03-01T22:24:59+0000,ABORTION;Colombia;Women and Girls,False,False
97,"Coming of Age, Whether She’s Ready or Not",2020-03-02T16:24:34+0000,"Books and Literature;King, Lily;Writers & Lovers: A Novel (Book)",False,False
98,How Are You Coping With the Coronavirus?,2020-03-02T21:01:22+0000,Coronavirus (2019-nCoV),True,True
99,‘The Face of the Coronavirus’: A Hong Kong Student Shunned in Italy,2020-03-02T07:47:15+0000,Coronavirus (2019-nCoV);Hong Kong Protests (2019);Masks;Bologna (Italy);Modena (Italy);Hong Kong;Reggio Emilia (Italy),True,True
100,Stop Touching Your Face!,2020-03-02T10:00:09+0000,Face;Touch (Sense);Hygiene and Cleanliness;Coronavirus (2019-nCoV);Eyes and Eyesight;Research;SARS (Severe Acute Respiratory Syndrome);Epidemics;Nose;Animal Behavior;Skin;Medicine and Health;Doctors;Mouth,False,True
101,How to Disinfect Your Space on an Airplane,2020-03-03T16:42:56+0000,Coronavirus (2019-nCoV);AIRLINES AND AIRPLANES;Hygiene and Cleanliness;Face,True,True
102,Surfaces? Sneezes? Sex? How the Coronavirus Can and Cannot Spread,2020-03-02T17:31:06+0000,Coronavirus (2019-nCoV);Hygiene and Cleanliness;United States;Epidemics,True,True
103,Colombia Court Keeps Restrictive Abortion Law in Place,2020-03-02T23:54:01+0000,ABORTION;Women and Girls;Women's Rights;Birth Control and Family Planning;Colombia,False,False
104,"In an Enchanted World, Echoes of Today’s Political Dramas",2020-03-03T17:39:13+0000,"Books and Literature;Mananaland (Book);Ryan, Pam Munoz",False,False
105,"As Coronavirus Disrupts Factories, India Curbs Exports of Key Drugs",2020-03-03T18:21:00+0000,Drugs (Pharmaceuticals);Politics and Government;Coronavirus (2019-nCoV);International Trade and World Market;ANTIBIOTICS;Vitamins;India;Economic Conditions and Trends;Factories and Manufacturing;Shortages,False,True
106,"Coronavirus Outbreak Will Spread in New York City, Officials Warn",2020-03-02T17:09:49+0000,"Coronavirus (2019-nCoV);Tests (Medical);SARS (Severe Acute Respiratory Syndrome);Medicine and Health;New York City;Centers for Disease Control and Prevention;Cuomo, Andrew M;de Blasio, Bill",True,True
107,"Ojai, Calif.: A Valley of Wellness (but No Chain Stores) in Ventura County",2020-03-03T14:00:22+0000,Real Estate and Housing (Residential);Ojai (Calif);California;Los Angeles (Calif),False,False
108,"Before Prostate Surgery, Consider ‘Active Surveillance’",2020-03-02T10:00:07+0000,Tests (Medical);Prostate Cancer;Prostate Gland;Men and Boys;Surgery and Surgeons,False,False
109,How to Respond to Microaggressions,2020-03-03T21:30:09+0000,"Discrimination;Race and Ethnicity;Women and Girls;Black People;Pierce, Chester M;Minorities;Homosexuality and Bisexuality",False,False
110,"No Corrections: March 2, 2020",2020-03-02T05:08:30+0000,,False,False
111,Israeli Slugfest:The Campaign in Pictures,2020-03-01T17:48:06+0000,"Politics and Government;Gantz, Benny;Netanyahu, Benjamin;Israel;Elections",False,False
112,Disclosure of Campaign Donors,2020-03-01T17:00:05+0000,Freedom of Speech and Expression;First Amendment (US Constitution),False,False
113,"Velvet Ropes, Inclusion and Kanye West in Paris",2020-03-01T12:51:36+0000,"Fashion and Apparel;Paris Fashion Week;Comme des Garcons;Kawakubo, Rei;Balmain;Rousteing, Olivier;Celine (Fashion Label);Slimane, Hedi;West, Kanye;Hermes International SA;Ackermann, Haider;Altuzarra, Joseph;Watanabe, Junya;your-feed-fashion",False,False
114,Kobe Bryant’s Widow ‘Devastated’ by Reports That Deputies Shared Crash Photos,2020-03-01T17:32:48+0000,"Helicopters;Los Angeles County Sheriff's Department;Bryant, Kobe;Calabasas (Calif);Privacy;Aviation Accidents, Safety and Disasters;Bryant, Gianna (2006-20)",False,False
115,Fear of Coronavirus Leaves the Faithful Without Mass in Italy’s North,2020-03-01T21:46:07+0000,Coronavirus (2019-nCoV);Italy;Roman Catholic Church;Travel Warnings,True,True
116,"South Carolina, Coronavirus, Taliban: Your Weekend Briefing",2020-03-01T11:30:06+0000,,False,False
117,Thom Browne: Fall 2020,2020-03-01T15:48:58+0000,"Browne, Thom;Paris Fashion Week",False,False
118,"For Buttigieg, a Search for Black Support That Never Arrived",2020-03-01T01:47:06+0000,"Primaries and Caucuses;Presidential Election of 2020;Black People;Democratic Party;Buttigieg, Pete (1982- );South Carolina",False,False
119,Valentino: Fall 2020,2020-03-01T19:03:31+0000,Valentino Fashion Group SpA;Paris Fashion Week,False,False
120,Nominee for Air Force Chief Would Be First African-American in Post,2020-03-02T17:24:54+0000,"United States Defense and Military Forces;Black People;United States Air Force;Defense Department;Joint Chiefs of Staff;Brown, Charles Q Jr;APPOINTMENTS AND EXECUTIVE CHANGES;United States Politics and Government",False,False
121,Warnings From South Carolina,2020-03-02T00:52:23+0000,"Presidential Election of 2020;Primaries and Caucuses;South Carolina;Black People;Polls and Public Opinion;Race and Ethnicity;Hispanic-Americans;Millennial Generation;Democratic Party;Biden, Joseph R Jr;Bloomberg, Michael R;Sanders, Bernard;Buttigieg, Pete (1982- )",False,False
122,"Seattle, Coronavirus, Amy Klobuchar: Your Monday Evening Briefing",2020-03-02T23:28:47+0000,,False,False
123,"Democrats, if We Remain Divided, We’ll Fall",2020-03-02T11:49:40+0000,"Income Tax;Income Inequality;United States Economy;Bloomberg, Michael R;Trump, Donald J",False,False
124,Waymo Includes Outsiders in $2.25 Billion Investment Round,2020-03-03T02:01:49+0000,Driverless and Semiautonomous Vehicles;Venture Capital;Alphabet Inc;Waymo,False,False
125,Trump Targets Biden Again as Democratic Race Hits Critical Stage,2020-03-03T02:50:29+0000,"Trump, Donald J;Presidential Election of 2020;North Carolina;Charlotte (NC);Speeches and Statements;Biden, Joseph R Jr;Sanders, Bernard;Bloomberg, Michael R;Warren, Elizabeth",False,False
